Jahr,Weltweit (%),Europa (%),Nordamerika (%),Asien (%),Lateinamerika (%),Afrika (%)
2023,30,47,44,24,19,16
2030,40,55,50,32,25,20
2040,50,65,58,40,32,25
2050,60,75,65,50,40,30
